,,OCS Ordering Tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lead No:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,OA Number (LPM) - Qty :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer:,,,,,,,,,,,Vendor Acceptance of PO and Delivery Date in writing after ammendments,Approved Drg / DS to Vendor with Mfg Clearance,Approval by Customer,Drg & Data Sheet Submission after revision,Make Changes as per customer comments,Comments by Customer,Drg & Data Sheet Submission,Drg & Data Sheet Submission by Vendor,Vendor Acceptance of PO and Delivery Date in writing,PO to Vendor,Technical Verifcation / Item Code / PR ,LOI to Vendor,Price and Commercial Terms Approval if beyond RMC,Negotiation with Vendor,Comparative Sheet Price +Terms,Technical Clearance on Multiple vendor ,Qtn from Vendor - pending items / vendors,Qtn from vendor - basis of RMC,Handover of documents - to Purchase and Engineering,Inquiry to Vendor
Sno.,LIST OF ITEMS,BN/ FT/FTNC/NC/STOCK/BN STOCK/NA,Item Code,Vendor Name,PR No.,PR Date,PO No.,PO date,Data of Drg/Data sheet received from Vendor ,Date of Drg /Data sheet approval sent by ENGG,Commited Dispatch date,Purchase,Engineering,Sales,Engineering,Engineering,Sales,Engineering,Purchase,Purchase,Purchase,Engineering,Purchase,Sales,Purchase,Purchase,Sales,Purchase,Sales,Sales,Sales / Purchase
,Main Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gear PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Screw Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Piston Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MOTOR-AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MOTOR-DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BELL-HOUSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,COUPLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FILTER ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,COOLER / Heat Exchanger ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,LOCAL STARTER PANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,CONTROL PANEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Control Valves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PRV - Pr Relief Valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,TCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,VALVE - BALL 2 WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,VALVE - BALL 3 WAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,VALVE - GLOBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,VALVE - GATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,VALVE - BUTTERFLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,VALVE - NON RETURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,VALVE - NEEDLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transmitters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,DPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,TT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Switches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PRESSURE SWITCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,DP SWITCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FLOW SWITCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,LEVEL SWITCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,TEMP SWITCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gauges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PRESSURE GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,DP GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,TEMP GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,RTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,THERMOWELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,TEMP CONTROLLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INSTRUMENTS FITTINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2 VALVE MANIFOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3 VALVE MANIFOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5 VALVE MANIFOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,INSTRUMENTS TUBING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Connector-Tube to Thread - St / Elbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Thread Adapter - Thread to Thread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electrical Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,INSTRUMENT CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,INSTRUMENT CABLE GLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,POWER CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,POWER CABLE GLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,TERMINAL BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PLUG IN CONDUCTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,BUS BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,CONDUIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,CABLE TRAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,THIMBLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,FERRULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tank & Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,TANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,ACCUMULATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,HEATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,LEVEL GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Air Breather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Magnetic Cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Mesh bucket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Orifice Assly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Orifice Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Flow Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Filter Element,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Gasket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Machanical Seal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Centifugal Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Vaccum Gauges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Stainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Foundation Bolt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Oil Sight Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Expansion Join,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Flexible Bellows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,O Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Sunction Strainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Pipe Fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finishing Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Primer / Intermediate / Paint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Packing Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Pipe and Fitting BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Electrical BOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Instrumentation BOM,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
